bprl	abporal
lgsmtr	algesimetria
lgsmtrs	algesimetries
lglgc	algològic
lglgc	algològica
lglgcs	algològics
lglgqs	algològiques
lgmtr	algometria
lgmtrs	algometries
ltrntvtt	alternativitat
ltrntvtts	alternativitats
ltstrt	altoestrat
ltstrts	altoestrats
ltc	alutàcia
ltcs	alutàcies
ltc	alutaci
ltcs	alutacis
mcrn	amacrina
mcrns	amacrines
mffl	amfífil
mffl	amfífila
mffls	amfífiles
mffls	amfífils
mffl	amfifília
mffls	amfifílies
mfttrc	amfiteàtric
mfttrc	amfiteàtrica
mfttrcs	amfiteàtrics
mfttrqs	amfiteàtriques
mlrr	amilorrea
mlrrs	amilorrees
mnrgc	aminèrgic
mnrgc	aminèrgica
mnrgcs	aminèrgics
mnrgqs	aminèrgiques
mnbnz	aminobenzè
mnbnzns	aminobenzens
mnfsfvlrc	aminofosfovalèric
mnfsfvlrc	aminofosfovalèrica
mnfsfvlrcs	aminofosfovalèrics
mnfsfvlrqs	aminofosfovalèriques
mnrrx	amniorrexi
mnrrxs	amniorrexis
mrfsnts	amorfosíntesi
mrfsntss	amorfosíntesis
mprstt	amperòstat
mprstts	amperòstats
mprmtrc	amperomètric
mprmtrc	amperomètrica
mprmtrcs	amperomètrics
mprmtrqs	amperomètriques
mprsttc	amperostàtic
mprsttc	amperostàtica
mprsttcs	amperostàtics
mprsttqs	amperostàtiques
mpl·lr	ampul·lar
mpl·lrs	ampul·lars
nlt	anàlit
nlts	anàlits
ncrtc	anacròtic
ncrtc	anacròtica
ncrtcs	anacròtics
ncrtqs	anacròtiques
nprtrd	anaperturada
nprtrds	anaperturades
nprtrt	anaperturat
nprtrts	anaperturats
nprd	anaporada
nprds	anaporades
nprt	anaporat
nprts	anaporats
ntmcfrns	anatomicoforense
ntmcfrnss	anatomicoforenses
ntrm	anatrem
ntrm	anatrema
ntrms	anatremes
ntrms	anatrems
ndsl	andisol
ndsls	andisols
ndrblstm	androblastoma
ndrblstms	androblastomes
nncfl	anencefàlia
nncfls	anencefàlies
nstbl	anestable
nstbls	anestables
ngspsmdc	angioespasmòdic
ngspsmdc	angioespasmòdica
ngspsmdcs	angioespasmòdics
ngspsmdqs	angioespasmòdiques
ngspsm	angioespasme
ngspsms	angioespasmes
nglprtrd	anguliaperturada
nglprtrds	anguliaperturades
nglprtrt	anguliaperturat
nglprtrts	anguliaperturats
ngstmrd	angustimurada
ngstmrds	angustimurades
ngstmrt	angustimurat
ngstmrts	angustimurats
nhdn	anhedonia
nhdns	anhedonies
nmls	animalàs
nmlss	animalassa
nmlsss	animalasses
nmlsss	animalassos
nsmrfc	anisomòrfic
nsmrfc	anisomòrfica
nsmrfcs	anisomòrfics
nsmrfqs	anisomòrfiques
nnxl	annexal
nnxls	annexals
nrmltt	anormalitat
nrmltts	anormalitats
ntmd	antemoide
ntmds	antemoides
ntrgrd	anterògrad
ntrgrd	anterògrada
ntrgrds	anterògrades
ntrgrds	anterògrads
ntrltrl	anterolateral
ntrltrls	anterolaterals
ntcntr	anticentre
ntcntrs	anticentres
ntcptr	anticipatòria
ntcptrs	anticipatòries
ntcptr	anticipatori
ntcptrs	anticipatoris
ntfrrmgntc	antiferromagnètic
ntfrrmgntc	antiferromagnètica
ntfrrmgntcs	antiferromagnètics
ntfrrmgntqs	antiferromagnètiques
ntfrmlst	antiformalista
ntfrmlsts	antiformalistes
nthmrrdl	antihemorroidal
nthmrrdls	antihemorroidals
nthrr	antihorària
nthrrs	antihoràries
ntpsctc	antipsicòtic
ntpsctc	antipsicòtica
ntpsctcs	antipsicòtics
ntpsctqs	antipsicòtiques
ntsstm	antisistema
ntrl	antral
ntrls	antrals
ntrpftmrf	antropofitomorf
ntrpftmrf	antropofitomorfa
ntrpftmrfs	antropofitomorfes
ntrpftmrfs	antropofitomorfs
ntrpzmrf	antropozoomorf
ntrpzmrf	antropozoomorfa
ntrpzmrfs	antropozoomorfes
ntrpzmrfs	antropozoomorfs
ntrrs	antrors
ntrrs	antrorsa
ntrrss	antrorses
ntrrss	antrorsos
ncld	anucleada
nclds	anucleades
nclt	anucleat
nclts	anucleats
pndclt	apendicòlit
pndclts	apendicòlits
prtrd	aperturada
prtrds	aperturades
prtrl	apertural
prtrls	aperturals
prtrt	aperturat
prtrts	aperturats
prtrd	aperturoide
prtrds	aperturoides
pls	aplísia
plss	aplísies
pclpc	apocòlpic
pclpc	apocòlpica
pclpcs	apocòlpics
pclpqs	apocòlpiques
pcptc	apocòptic
pcptc	apocòptica
pcptcs	apocòptics
pcptqs	apocòptiques
pclp	apocolpi
pclps	apocolpis
plrtt	apolaritat
plrtts	apolaritats
ppr	apopori
pprs	apoporis
prsd	aprosòdia
prsds	aprosòdies
rcndl	aracnoidal
rcndls	aracnoidals
rgrgrf	argirògraf
rgrgrfs	argirògrafs
rgrgrf	argirografia
rgrgrfs	argirografies
rgï	arguïa
rgïbl	arguïble
rgïbls	arguïbles
rgïc	arguïció
rgïcns	arguïcions
rgïd	arguïda
rgïds	arguïdes
rgïdr	arguïdor
rgïdr	arguïdora
rgïdrs	arguïdores
rgïdrs	arguïdors
rgïn	arguïen
rgïs	arguïes
rgïm	arguïm
rgïrn	arguïren
rgïrs	arguïres
rgïssn	arguïssin
rgïsss	arguïssis
rgït	arguït
rgïts	arguïts
rgï	arguïu
rdsl	aridisol
rdsls	aridisols
rtndl	aritenoidal
rtndls	aritenoidals
rqgnfr	arquegoniòfor
rqgnfrs	arquegoniòfors
rqcrtx	arquicòrtex
rqcrtxs	arquicòrtexs
rqcrbl	arquicerebel
rqcrbls	arquicerebels
rrn	arrínia
rrns	arrínies
rrtm	arrítmia
rrtmc	arrítmic
rrtmc	arrítmica
rrtmcs	arrítmics
rrtms	arrítmies
rrtmqs	arrítmiques
rrfd	arrafídia
rrfds	arrafídies
rrfd	arrafidi
rrfds	arrafidis
rrflx	arreflèxia
rrflxs	arreflèxies
rrstn	arrestina
rrstns	arrestines
rrnncfl	arrinencefàlia
rrnncfls	arrinencefàlies
rrzft	arrizòfit
rrzfts	arrizòfits
rrz	arriza
rrz	arrize
rrzs	arrizes
rrzs	arrizes
rrztnc	arrizotònic
rrztnc	arrizotònica
rrztncs	arrizotònics
rrztnqs	arrizotòniques
rtrsclrtc	arterioescleròtic
rtrsclrtc	arterioescleròtica
rtrsclrtcs	arterioescleròtics
rtrsclrtqs	arterioescleròtiques
rtrsclrs	arterioesclerosi
rtrsclrss	arterioesclerosis
rtrspsm	arterioespasme
rtrspsms	arterioespasmes
sstmtc	asistemàtic
sstmtc	asistemàtica
sstmtcs	asistemàtics
sstmtqs	asistemàtiques
scltzc	asocialització
scltzcns	asocialitzacions
sprc	asperació
sprcns	asperacions
spdprd	aspidoporada
spdprds	aspidoporades
spdprt	aspidoporat
spdprts	aspidoporats
strglclcnscfdl	astragalocalcaneoescafoidal
strglclcnscfdls	astragalocalcaneoescafoidals
strctr	astrocitària
strctrs	astrocitàries
strctr	astrocitari
strctrs	astrocitaris
strcts	astrocitosi
strctss	astrocitosis
tts	atètesi
ttss	atètesis
tctstl	atactostela
tctstls	atactosteles
tctd	atectada
tctds	atectades
tctt	atectat
tctts	atectats
tpctt	atipicitat
tpctts	atipicitats
trvntrclr	atrioventricular
trvntrclrs	atrioventriculars
dlg	audiologia
dlgs	audiologies
ssmrq	ausiasmarquià
ssmrqn	ausiasmarquiana
ssmrqns	ausiasmarquianes
ssmrqns	ausiasmarquians
tbsrc	autoabsorció
tbsrcns	autoabsorcions
tdjnt	autoadjunt
tdjnt	autoadjunta
tdjnts	autoadjuntes
tdjnts	autoadjunts
tctltc	autocatalític
tctltc	autocatalítica
tctltcs	autocatalítics
tctltqs	autocatalítiques
tcrrldr	autocorrelador
tcrrldrs	autocorreladors
tstt	autoestat
tstts	autoestats
tfrmc	autoformació
tfrmcns	autoformacions
tntznt	autoionitzant
tntznts	autoionitzants
trgntzt	autoorganitzatiu
trgntzts	autoorganitzatius
trgntztv	autoorganitzativa
trgntztvs	autoorganitzatives
xnc	axònic
xnc	axònica
xncs	axònics
xnqs	axòniques
xlmm	axilemma
xlmms	axilemmes
xxnc	axoaxònic
xxnc	axoaxònica
xxncs	axoaxònics
xxnqs	axoaxòniques
xdndrtc	axodendrític
xdndrtc	axodendrítica
xdndrtcs	axodendrítics
xdndrtqs	axodendrítiques
xlmm	axolemma
xlmms	axolemmes
xnl	axonal
xnls	axonals
xntms	axonotmesi
xntmss	axonotmesis
xsmtc	axosomàtic
xsmtc	axosomàtica
xsmtcs	axosomàtics
xsmtqs	axosomàtiques
tb	aitb
bclfn	baclofèn
bclfns	baclofens
bxmdvl	baixmedieval
bxmdvls	baixmedievals
bnt	bantú
bnts	bantús
btrrmtr	batirreòmetre
btrrmtrs	batirreòmetres
bgss	begissà
bgssn	begissana
bgssns	begissanes
bgssns	begissans
bnrbg	beniarbegí
bnrbgn	beniarbegina
bnrbgns	beniarbegines
bnrbgns	beniarbegins
bnfrg	benifaragí
bnfrgn	benifaragina
bnfrgns	benifaragines
bnfrgns	benifaragins
bnzmdzl	benzimidazole
bnzmdzls	benzimidazoles
bsnt	besnet
bsnt	besneta
bsnts	besnetes
bsnts	besnets
bssl	besselià
bssln	besseliana
bsslns	besselianes
bsslns	besselians
btgrf	betagrafia
btgrfs	betagrafies
bblfg	bibliòfag
bblfg	bibliòfaga
bblfgs	bibliòfags
bblfgs	bibliòfagues
bblpg	bibliopègia
bblpgs	bibliopègies
bctnr	bicatenària
bctnrs	bicatenàries
bctnr	bicatenari
bctnrs	bicatenaris
bnrl	bineural
bnrls	bineurals
bn	binió
bnns	binions
bcnc	biociència
bcncs	biociències
bstrtgrfc	bioestratigràfic
bstrtgrfc	bioestratigràfica
bstrtgrfcs	bioestratigràfics
bstrtgrfqs	bioestratigràfiques
bstrtgrf	bioestratigrafia
bstrtgrfs	bioestratigrafies
bplnlg	biopalinologia
bplnlgs	biopalinologies
bptlg	biopatologia
bptlgs	biopatologies
bpscscl	biopsicosocial
bpscscls	biopsicosocials
brrlg	biorreologia
brrlgs	biorreologies
bsgrtt	bioseguretat
bsgrtts	bioseguretats
brfrgnc	birefrigència
brfrgncs	birefrigències
blg	blog
blgs	blogs
btrdl	botrioidal
btrdls	botrioidals
brncsprmtr	broncoespirometria
brncsprmtrs	broncoespirometries
btb	bitb
clcfl	calcòfil
clcfl	calcòfila
clcfls	calcòfiles
clcfls	calcòfils
clcncbdl	calcaneocuboidal
clcncbdls	calcaneocuboidals
clcrrdcrst	calciorrodocrosita
clcrrdcrst	calciorrodocrosita
clcrrdcrsts	calciorrodocrosites
clcrrdcrsts	calciorrodocrosites
clcrrdst	calciorrodosita
clcrrdsts	calciorrodosites
crdspsm	cardioespasme
crdspsms	cardioespasmes
ctlnvlncnblr	catalanovalencianobalear
ctlnvlncnblrs	catalanovalencianobalears
cflrrqd	cefalorraquídia
cflrrqds	cefalorraquídies
cflrrqd	cefalorraquidi
cflrrqds	cefalorraquidis
clsttc	celostàtic
clsttc	celostàtica
clsttcs	celostàtics
clsttqs	celostàtiques
ctrrnd	cetorrínid
ctrrnds	cetorrínids
ccddl	cicadeoidal
ccddls	cicadeoidals
ccldl	cicloidal
ccldls	cicloidals
cnrrdn	cinorròdon
cnrrdns	cinorròdons
cnrrnc	cinorrinc
cnrrncs	cinorrincs
crrstrt	cirroestrat
crrstrts	cirroestrats
cssdl	cissoidal
cssdls	cissoidals
ctsqlt	citoesquelet
ctsqlts	citoesquelets
ctsttc	citostàtic
ctsttc	citostàtica
ctsttcs	citostàtics
ctsttqs	citostàtiques
clcp	clocpiu
clcps	clocpius
cl·ldl	col·loidal
cl·ldls	col·loidals
cms	coms
cncdl	concoidal
cncdls	concoidals
cndl	conoidal
cndls	conoidals
cntrpl	contrapel
crcdl	coracoidal
crcdls	coracoidals
crl·lrrz	coral·lorriza
crl·lrrzs	coral·lorrizes
crmr	corimori
crmrs	corimoris
crdl	coroidal
crdls	coroidals
crrct	correcuita
crrfrnc	correferència
crrfrncs	correferències
crrfrnt	correferent
crrfrnts	correferents
crrprssr	correpressor
crrprssr	correpressora
crrprssrs	correpressores
crrprssrs	correpressors
crrspnsbl	corresponsable
crrspnsbls	corresponsables
crtcstrd	corticoesteroide
crtcstrd	corticoesteroide
crtcstrds	corticoesteroides
crtcstrds	corticoesteroides
ctldl	cotiloidal
ctldls	cotiloidals
crmrrnrr	cromorrinorrea
crmrrnrrs	cromorrinorrees
crnsttgrfc	cronoestatigràfic
crnsttgrfc	cronoestatigràfica
crnsttgrfcs	cronoestatigràfics
crnsttgrfqs	cronoestatigràfiques
crnsttgrf	cronoestatigrafia
crnsttgrfs	cronoestatigrafies
crnstrtgrf	cronoestratigrafia
crnstrtgrfs	cronoestratigrafies
cbdl	cuboidal
cbdls	cuboidals
ctcrrnts	cuitacorrents
ctb	citb
dngl	dóngola
dngls	dóngoles
dcrrrnstm	dacriorrinostomia
dcrrrnstms	dacriorrinostomies
dlrm	delirium
dltdl	deltoidal
dltdls	deltoidals
dntnsl	dentinasal
dntnsls	dentinesals
drmtsqlt	dermatoesquelet
drmtsqlts	dermatoesquelets
d-n'h-drt	deu-n'hi-doret
dscdl	discoidal
dscdls	discoidals
dssccn	disseccionà
dssccnrm	disseccionàrem
dssccnr	disseccionàreu
dssccnvm	disseccionàvem
dssccnv	disseccionàveu
dssccns	disseccionés
dssccnssm	disseccionéssim
dssccnss	disseccionéssiu
dssccn	disseccioní
dssccn	dissecciona
dssccnr	disseccionarà
dssccnrs	disseccionaràs
dssccnr	disseccionaré
dssccnrm	disseccionaríem
dssccnr	disseccionaríeu
dssccnr	disseccionar
dssccnrn	disseccionaran
dssccnrm	disseccionarem
dssccnrn	disseccionaren
dssccnrs	disseccionares
dssccnr	disseccionareu
dssccnr	disseccionaria
dssccnrn	disseccionarien
dssccnrs	disseccionaries
dssccnt	disseccionat
dssccnts	disseccionats
dssccnv	disseccionava
dssccnvn	disseccionaven
dssccnvs	disseccionaves
dssccnm	disseccionem
dssccnn	disseccionen
dssccns	dissecciones
dssccnssn	disseccionessin
dssccnsss	disseccionessis
dssccn	disseccioneu
dssccn	disseccioni
dssccns	disseccionis
dssccn	dissecciono
dntl	edèntul
dntl	edèntula
dntls	edèntules
dntls	edèntuls
l·lpsdl	el·lipsoidal
l·lpsdls	el·lipsoidals
lctrsttc	electroestàtic
lctrsttc	electroestàtica
lctrsttcs	electroestàtics
lctrsttqs	electroestàtiques
mpl	empel
ndsqlt	endoesquelet
ndsqlts	endoesquelets
ntsl	entisol
ntsls	entisols
pbl	epíbole
pbls	epíboles
pccldl	epicicloidal
pccldls	epicicloidals
rrdc	erradicà
rrdcrm	erradicàrem
rrdcr	erradicàreu
rrdcvm	erradicàvem
rrdcv	erradicàveu
rrdc	erradica
rrdcc	erradicació
rrdccns	erradicacions
rrdcd	erradicada
rrdcds	erradicades
rrdcnt	erradicant
rrdcr	erradicarà
rrdcrs	erradicaràs
rrdcr	erradicaré
rrdcrm	erradicaríem
rrdcr	erradicaríeu
rrdcr	erradicar
rrdcrn	erradicaran
rrdcrm	erradicarem
rrdcrn	erradicaren
rrdcrs	erradicares
rrdcr	erradicareu
rrdcr	erradicaria
rrdcrn	erradicarien
rrdcrs	erradicaries
rrdct	erradicat
rrdct	erradicatiu
rrdcts	erradicatius
rrdctv	erradicativa
rrdctvs	erradicatives
rrdcts	erradicats
rrdcv	erradicava
rrdcvn	erradicaven
rrdcvs	erradicaves
rrdc	erradico
rrdqs	erradiqués
rrdqssm	erradiquéssim
rrdqss	erradiquéssiu
rrdq	erradiquí
rrdqm	erradiquem
rrdqn	erradiquen
rrdqs	erradiques
rrdqssn	erradiquessin
rrdqsss	erradiquessis
rrdq	erradiqueu
rrdq	erradiqui
rrdqn	erradiquin
rrdqs	erradiquis
scfdl	escafoidal
scfdls	escafoidals
scrx-rsss	escorxa-rosses
sfndl	esfenoidal
sfndls	esfenoidals
sfrdl	esferoidal
sfrdls	esferoidals
sgrgss	esgroguissà
sgrgssrm	esgroguissàrem
sgrgssr	esgroguissàreu
sgrgssvm	esgroguissàvem
sgrgssv	esgroguissàveu
sgrgsss	esgroguissés
sgrgssssm	esgroguisséssim
sgrgssss	esgroguisséssiu
sgrgss	esgroguissí
sgrgss	esgroguissa
sgrgssr	esgroguissarà
sgrgssrs	esgroguissaràs
sgrgssr	esgroguissaré
sgrgssrm	esgroguissaríem
sgrgssr	esgroguissaríeu
sgrgssr	esgroguissar
sgrgssrn	esgroguissaran
sgrgssrm	esgroguissarem
sgrgssrn	esgroguissaren
sgrgssrs	esgroguissares
sgrgssr	esgroguissareu
sgrgssr	esgroguissaria
sgrgssrn	esgroguissarien
sgrgssrs	esgroguissaries
sgrgsst	esgroguissat
sgrgssts	esgroguissats
sgrgssv	esgroguissava
sgrgssvn	esgroguissaven
sgrgssvs	esgroguissaves
sgrgssm	esgroguissem
sgrgssn	esgroguissen
sgrgsss	esgroguisses
sgrgssssn	esgroguissessin
sgrgsssss	esgroguissessis
sgrgss	esgroguisseu
sgrgss	esgroguissi
sgrgsss	esgroguissis
sgrgss	esgroguisso
spctmprl	espaciotemporal
spctmprls	espaciotemporals
spdsl	espodosol
spdsls	espodosols
st-nrd-st	est-nord-est
strdl	esteroidal
strdls	esteroidals
stlnvst	estilnovista
stlnvsts	estilnovistes
strnrvs	estiranervis
tmdl	etmoidal
tmdls	etmoidals
xrdptd	exeurodiputada
xrdptds	exeurodiputades
xrdptt	exeurodiputat
xrdptts	exeurodiputats
xlbrs	exlibris
xsqlt	exoesquelet
xsqlts	exoesquelets
xprll	exparella
xprlls	exparelles
xprfssr	exprofessor
xprfssr	exprofessora
xprfssrs	exprofessores
xprfssrs	exprofessors
fmls	familias
fldsptc	feldespàtic
fldsptc	feldespàtica
fldsptcs	feldespàtics
fldsptqs	feldespàtiques
fldspt	feldespat
fldsptdc	feldespatoídic
fldsptdc	feldespatoídica
fldsptdcs	feldespatoídics
fldsptdqs	feldespatoídiques
fldsptd	feldespatoide
fldsptds	feldespatoides
fldspts	feldespats
frrrrdcrst	ferrorrodocrosita
frrrrdcrsts	ferrorrodocrosites
frrrrdnt	ferrorrodonita
frrrrdnts	ferrorrodonites
ftns	fitnes
fldl	fluidal
fldls	fluidals
f-grs	foie-gras
fmtrr	fumaterra
fmtrrs	fumaterres
fssprqts	fusoespiroquetosi
fssprqtss	fusoespiroquetosis
gspl	gòspel
gspls	gòspels
grn	garneua
grns	garneues
gndrmts	genodermatosi
gndrmtss	genodermatosis
gntxctt	genotoxicitat
gntxctts	genotoxicitats
gstcnr	geoestacionària
gstcnrs	geoestacionàries
gstcnr	geoestacionari
gstcnrs	geoestacionaris
gmgntc	geomagnètic
gmgntc	geomagnètica
gmgntcs	geomagnètics
gmgntqs	geomagnètiques
gstcnrs	geostacionàries
gstcnrs	geostacionaris
grdntlg	gerodontologia
grdntlgs	gerodontologies
glndl	glenoidal
glndls	glenoidals
gltc	gliòtic
gltc	gliòtica
gltcs	gliòtics
gltqs	gliòtiques
gll	glial
glls	glials
glcrrzn	glicirrizina
glcrrzns	glicirrizines
glcltc	glicolític
glcltc	glicolítica
glcltcs	glicolítics
glcltqs	glicolítiques
glcrrq	glicorràquia
glcrrqs	glicorràquies
glcsltrnsfrs	glicosiltransferasa
glcsltrnsfrss	glicosiltransferases
glcltc	glucolític
glcltc	glucolítica
glcltcs	glucolítics
glcltqs	glucolítiques
glcrnltrnsfrs	glucuroniltransferasa
glcrnltrnsfrss	glucuroniltransferases
gnsss	gneissos
gndblstm	gonadoblastoma
gndblstms	gonadoblastomes
grfnsts	grafoanestèsia
grfnstss	grafoanestèsies
grfspsm	grafoespasme
grfspsms	grafoespasmes
grfsttc	grafoestàtic
grfsttc	grafoestàtica
grfsttcs	grafoestàtics
grfsttqs	grafoestàtiques
grsss	grossàs
grssss	grossassa
grsssss	grossasses
grsssss	grossassos
grbt	gurbetà
grbtn	gurbetana
grbtns	gurbetanes
grbtns	gurbetans
hndcp	hàndicap
hndcps	hàndicaps
hplfs	haplofase
hplfss	haplofases
hrmmgt	harmomègat
hrmmgt	harmomègata
hrmmgts	harmomègates
hrmmgts	harmomègats
hrmmgt	harmomegàtia
hrmmgts	harmomegàties
hrmnctt	harmonicitat
hrmnctts	harmonicitats
hlntd	heliantoide
hlntds	heliantoides
hlcdl	helicoidal
hlcdls	helicoidals
hlctrm	helicotrema
hlctrms	helicotremes
hlssmlg	heliosismologia
hlssmlgs	heliosismologies
hmfc	hemafècia
hmfcs	hemafècies
hmngblstm	hemangioblastoma
hmngblstms	hemangioblastomes
hmtmtr	hematòmetre
hmtmtrs	hematòmetres
hmtclps	hematocolpos
hmtncflc	hematoencefàlic
hmtncflc	hematoencefàlica
hmtncflcs	hematoencefàlics
hmtncflqs	hematoencefàliques
hmtprfrn	hematoporfirina
hmtprfrns	hematoporfirines
hmtqz	hematoquèzia
hmtqzs	hematoquèzies
hmblps	hemiablèpsia
hmblpss	hemiablèpsies
hmmrs	hemiamaurosi
hmmrss	hemiamaurosis
hmnlgs	hemianalgèsia
hmnlgss	hemianalgèsies
hmnsts	hemianestèsia
hmnstss	hemianestèsies
hmcrptftc	hemicriptofític
hmcrptftc	hemicriptofítica
hmcrptftcs	hemicriptofítics
hmcrptftqs	hemicriptofítiques
hmdsmsm	hemidesmosoma
hmdsmsms	hemidesmosomes
hmsfrdl	hemisferoidal
hmsfrdls	hemisferoidals
hmglbnmtr	hemoglobinòmetre
hmglbnmtrs	hemoglobinòmetres
hmrrdl	hemorroidal
hmrrdls	hemorroidals
hptjglr	hepatojugular
hptjglrs	hepatojugulars
hptpt	hepatopatia
hptpts	hepatopaties
htrnt	heteràntia
htrntc	heteràntic
htrntc	heteràntica
htrntcs	heteràntics
htrnts	heterànties
htrntqs	heteràntiques
htrspr	heteròspor
htrspr	heteròspora
htrsprs	heteròspores
htrsprs	heteròspors
htrbrcd	heterobrocada
htrbrcds	heterobrocades
htrbrct	heterobrocat
htrbrcts	heterobrocats
htrdmr	heterodímer
htrdmrs	heterodímers
htrgnc	heterogènic
htrgnc	heterogènica
htrgncs	heterogènics
htrgnqs	heterogèniques
htrplrtt	heteropolaritat
htrplrtts	heteropolaritats
htrtl·lc	heterotàl·lic
htrtl·lc	heterotàl·lica
htrtl·lcs	heterotàl·lics
htrtl·lqs	heterotàl·liques
htrtpc	heterotòpic
htrtpc	heterotòpica
htrtpcs	heterotòpics
htrtpqs	heterotòpiques
hlcst	hialocist
hlcsts	hialocistos
hlcsts	hialocists
hdrtr	hidratura
hdrtrs	hidratures
hdrrtrs	hidroartrosi
hdrrtrss	hidroartrosis
hdrlctrltc	hidroelectrolític
hdrlctrltc	hidroelectrolítica
hdrlctrltcs	hidroelectrolítics
hdrlctrltqs	hidroelectrolítiques
hdrsttc	hidroestàtic
hdrsttc	hidroestàtica
hdrsttcs	hidroestàtics
hdrsttqs	hidroestàtiques
hdrftc	hidrofític
hdrftc	hidrofítica
hdrftcs	hidrofítics
hdrftqs	hidrofítiques
hdrgm	hidrogàmia
hdrgms	hidrogàmies
hdrglgc	hidrogeològic
hdrglgc	hidrogeològica
hdrglgcs	hidrogeològics
hdrglgqs	hidrogeològiques
hdrmgntc	hidromagnètic
hdrmgntc	hidromagnètica
hdrmgntcs	hidromagnètics
hdrmgntqs	hidromagnètiques
hdrp	hidrop
hdrps	hidrops
hgrsttc	higrostàtic
hgrsttc	higrostàtica
hgrsttcs	higrostàtics
hgrsttqs	higrostàtiques
hmnfr	himenòfor
hmnfrs	himenòfors
hmnl	himenal
hmnls	himenals
hmnrrx	himenorrexi
hmnrrxs	himenorrexis
hdl	hioidal
hdls	hioidals
hprlg	hiperàlgia
hprlgs	hiperàlgies
hprldstrnsm	hiperaldosteronisme
hprldstrnsms	hiperaldosteronismes
hprlgs	hiperalgèsia
hprlgss	hiperalgèsies
hprndrgnsm	hiperandrogenisme
hprndrgnsms	hiperandrogenismes
hprblrbnm	hiperbilirubinèmia
hprblrbnms	hiperbilirubinèmies
hprcrtnm	hipercarotenèmia
hprcrtnms	hipercarotenèmies
hprclrdt	hiperclaredat
hprclrdts	hiperclaredats
hprclstrnm	hipercolesterinèmia
hprclstrnms	hipercolesterinèmies
hprcrmc	hipercròmic
hprcrmc	hipercròmica
hprcrmcs	hipercròmics
hprcrmqs	hipercròmiques
